ESTACAO,lat,lon,lvl,week,precipitation_avg,precipitation_max
A601,-22.8,-43.68333333,33.0,201617,1.0571428571428572,4.4
A601,-22.8,-43.68333333,33.0,201618,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201619,1.0,4.0
A601,-22.8,-43.68333333,33.0,201620,2.4,13.4
A601,-22.8,-43.68333333,33.0,201621,0.1714285714285714,0.6
A601,-22.8,-43.68333333,33.0,201622,3.6857142857142855,8.6
A601,-22.8,-43.68333333,33.0,201623,5.171428571428571,19.2
A601,-22.8,-43.68333333,33.0,201624,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201625,0.3714285714285714,2.0
A601,-22.8,-43.68333333,33.0,201626,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201627,0.0,0.0
A601,-22.8,-43.68333333,33.0,201628,0.0,0.0
A601,-22.8,-43.68333333,33.0,201629,0.0,0.0
A601,-22.8,-43.68333333,33.0,201630,0.0,0.0
A601,-22.8,-43.68333333,33.0,201631,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201632,0.0857142857142857,0.6
A601,-22.8,-43.68333333,33.0,201633,0.8857142857142858,3.2
A601,-22.8,-43.68333333,33.0,201634,0.9428571428571428,5.0
A601,-22.8,-43.68333333,33.0,201635,2.2285714285714286,14.4
A601,-22.8,-43.68333333,33.0,201636,0.0571428571428571,0.2
A601,-22.8,-43.68333333,33.0,201637,0.0,0.0
A601,-22.8,-43.68333333,33.0,201638,1.2571428571428571,3.8
A601,-22.8,-43.68333333,33.0,201639,0.7714285714285715,1.6
A601,-22.8,-43.68333333,33.0,201640,1.0571428571428572,4.6
A601,-22.8,-43.68333333,33.0,201641,1.0571428571428572,7.0
A601,-22.8,-43.68333333,33.0,201642,0.5428571428571428,2.2
A601,-22.8,-43.68333333,33.0,201643,0.0857142857142857,0.4
A601,-22.8,-43.68333333,33.0,201644,1.657142857142857,10.4
A601,-22.8,-43.68333333,33.0,201645,8.857142857142858,37.2
A601,-22.8,-43.68333333,33.0,201646,5.2,13.6
A601,-22.8,-43.68333333,33.0,201647,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201648,0.4285714285714285,2.4
A601,-22.8,-43.68333333,33.0,201649,3.857142857142857,24.4
A601,-22.8,-43.68333333,33.0,201650,3.942857142857143,15.8
A601,-22.8,-43.68333333,33.0,201651,3.0857142857142854,13.2
A601,-22.8,-43.68333333,33.0,201652,0.0857142857142857,0.4
A601,-22.8,-43.68333333,33.0,201701,9.8,43.4
A601,-22.8,-43.68333333,33.0,201702,3.257142857142857,19.2
A601,-22.8,-43.68333333,33.0,201703,0.7714285714285714,4.8
A601,-22.8,-43.68333333,33.0,201704,4.742857142857142,20.4
A601,-22.8,-43.68333333,33.0,201705,6.428571428571429,14.4
A601,-22.8,-43.68333333,33.0,201706,2.914285714285714,17.2
A601,-22.8,-43.68333333,33.0,201707,0.0,0.0
A601,-22.8,-43.68333333,33.0,201708,5.257142857142857,31.2
A601,-22.8,-43.68333333,33.0,201709,0.6,2.4
A601,-22.8,-43.68333333,33.0,201710,1.6,6.6
A601,-22.8,-43.68333333,33.0,201711,2.4,9.8
A601,-22.8,-43.68333333,33.0,201712,1.542857142857143,5.4
A601,-22.8,-43.68333333,33.0,201713,1.4,3.8
A601,-22.8,-43.68333333,33.0,201714,2.685714285714285,14.2
A601,-22.8,-43.68333333,33.0,201715,0.5142857142857143,2.6
A601,-22.8,-43.68333333,33.0,201716,0.8285714285714285,4.8
A601,-22.8,-43.68333333,33.0,201717,1.6285714285714283,4.6
A601,-22.8,-43.68333333,33.0,201718,0.0571428571428571,0.4
A601,-22.8,-43.68333333,33.0,201719,1.0285714285714287,5.2
A601,-22.8,-43.68333333,33.0,201720,1.0857142857142856,7.0
A601,-22.8,-43.68333333,33.0,201721,0.6857142857142857,4.6
A601,-22.8,-43.68333333,33.0,201722,0.0,0.0
A601,-22.8,-43.68333333,33.0,201723,0.0,0.0
A601,-22.8,-43.68333333,33.0,201724,4.285714285714286,26.8
A601,-22.8,-43.68333333,33.0,201725,0.8285714285714286,4.4
A601,-22.8,-43.68333333,33.0,201726,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201727,0.6571428571428571,2.8
A601,-22.8,-43.68333333,33.0,201728,0.0,0.0
A601,-22.8,-43.68333333,33.0,201729,0.0857142857142857,0.6
A601,-22.8,-43.68333333,33.0,201730,0.0,0.0
A601,-22.8,-43.68333333,33.0,201731,0.3428571428571429,2.2
A601,-22.8,-43.68333333,33.0,201732,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201733,0.7428571428571429,2.6
A601,-22.8,-43.68333333,33.0,201734,2.0,7.4
A601,-22.8,-43.68333333,33.0,201735,0.1428571428571428,0.6
A601,-22.8,-43.68333333,33.0,201736,0.0,0.0
A601,-22.8,-43.68333333,33.0,201737,0.0,0.0
A601,-22.8,-43.68333333,33.0,201738,0.0,0.0
A601,-22.8,-43.68333333,33.0,201739,0.6,4.2
A601,-22.8,-43.68333333,33.0,201740,0.7428571428571428,3.4
A601,-22.8,-43.68333333,33.0,201741,0.0285714285714285,0.2
A601,-22.8,-43.68333333,33.0,201742,0.5142857142857143,3.2
A601,-22.8,-43.68333333,33.0,201743,3.0,8.6
A601,-22.8,-43.68333333,33.0,201744,0.4571428571428572,2.0
A601,-22.8,-43.68333333,33.0,201745,0.3714285714285714,2.0
A601,-22.8,-43.68333333,33.0,201746,4.571428571428571,31.8
A601,-22.8,-43.68333333,33.0,201747,5.685714285714285,30.8
A601,-22.8,-43.68333333,33.0,201748,1.1999999999999995,3.8
A601,-22.8,-43.68333333,33.0,201749,0.5428571428571428,2.8
A601,-22.8,-43.68333333,33.0,201750,0.4285714285714285,2.8
A601,-22.8,-43.68333333,33.0,201751,1.6285714285714286,8.0
A601,-22.8,-43.68333333,33.0,201752,2.0285714285714285,5.8
A601,-22.8,-43.68333333,33.0,201753,1.0,1.0
A601,-22.8,-43.68333333,33.0,201800,5.833333333333333,13.2
A601,-22.8,-43.68333333,33.0,201801,8.514285714285714,23.8
A601,-22.8,-43.68333333,33.0,201802,0.6,3.4
A601,-22.8,-43.68333333,33.0,201803,3.371428571428571,20.4
