week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201503,2.2019,6.8505,Angra Dos Reis,2.2019,6.8505
201504,5.2651,15.2128,Angra Dos Reis,5.2651,15.2128
201505,7.4237,15.3694,Angra Dos Reis,7.4237,15.3694
201506,1.4284,6.064,Angra Dos Reis,1.4284,6.064
201507,3.8092,21.6072,Angra Dos Reis,3.8092,21.6072
201508,1.2378,11.0813,Angra Dos Reis,1.2378,11.0813
201509,2.574,8.1734,Angra Dos Reis,2.574,8.1734
201510,4.1596,23.5088,Angra Dos Reis,4.1596,23.5088
201511,3.3955,14.6266,Angra Dos Reis,3.3955,14.6266
201512,2.703,14.0467,Angra Dos Reis,2.703,14.0467
201513,3.1415,13.9737,Angra Dos Reis,3.1415,13.9737
201514,1.5623,6.8601,Angra Dos Reis,1.5623,6.8601
201515,0.0506,0.8264,Angra Dos Reis,0.0506,0.8264
201516,1.6713,8.2973,Angra Dos Reis,1.6713,8.2973
201517,1.6715,7.9888,Angra Dos Reis,1.6715,7.9888
201518,1.8878,8.2788,Angra Dos Reis,1.8878,8.2788
201519,1.292,4.9679,Angra Dos Reis,1.292,4.9679
201520,0.1288,0.4405,Angra Dos Reis,0.1288,0.4405
201521,0.3869,2.2802,Angra Dos Reis,0.3869,2.2802
201522,0.4686,2.1501,Angra Dos Reis,0.4686,2.1501
201523,0.0992,0.3827,Angra Dos Reis,0.0992,0.3827
201524,1.6811,6.5034,Angra Dos Reis,1.6811,6.5034
201525,1.0516,4.8446,Angra Dos Reis,1.0516,4.8446
201526,0.2196,1.2372,Angra Dos Reis,0.2196,1.2372
201527,0.1495,0.9945,Angra Dos Reis,0.1495,0.9945
201528,0.0259,0.1184,Angra Dos Reis,0.0259,0.1184
201529,0.6395,2.599,Angra Dos Reis,0.6395,2.599
201530,0.196,0.9825,Angra Dos Reis,0.196,0.9825
201531,0.0227,0.0679,Angra Dos Reis,0.0227,0.0679
201532,0.0073,0.0753,Angra Dos Reis,0.0073,0.0753
201533,0.175,1.2459,Angra Dos Reis,0.175,1.2459
201534,0.7118,3.586,Angra Dos Reis,0.7118,3.586
201535,0.6951,2.8234,Angra Dos Reis,0.6951,2.8234
201536,2.1382,4.9405,Angra Dos Reis,2.1382,4.9405
201537,1.0162,5.6474,Angra Dos Reis,1.0162,5.6474
201538,0.3483,2.4417,Angra Dos Reis,0.3483,2.4417
201539,1.2461,5.5276,Angra Dos Reis,1.2461,5.5276
201540,0.6002,3.2747,Angra Dos Reis,0.6002,3.2747
201541,0.0226,0.1239,Angra Dos Reis,0.0226,0.1239
201542,0.7192,2.6534,Angra Dos Reis,0.7192,2.6534
201543,0.0,0.0,Angra Dos Reis,-0.0515,-0.0499
201544,4.1763,13.4818,Angra Dos Reis,4.1763,13.4818
201545,0.6496,4.1791,Angra Dos Reis,0.6496,4.1791
201546,3.4124,13.5109,Angra Dos Reis,3.4124,13.5109
201547,2.7166,11.1464,Angra Dos Reis,2.7166,11.1464
201548,5.1832,17.3596,Angra Dos Reis,5.1832,17.3596
201549,2.6653,11.2768,Angra Dos Reis,2.6653,11.2768
201550,4.671,23.4721,Angra Dos Reis,4.671,23.4721
201551,1.4819,8.1565,Angra Dos Reis,1.4819,8.1565
201552,1.7413,6.1602,Angra Dos Reis,1.7413,6.1602
201600,12.816,15.0703,Angra Dos Reis,12.816,15.0703
201601,1.4889,9.0366,Angra Dos Reis,1.4889,9.0366
201602,7.0046,19.0063,Angra Dos Reis,7.0046,19.0063
201603,1.5168,6.759,Angra Dos Reis,1.5168,6.759
201604,2.0527,12.8811,Angra Dos Reis,2.0527,12.8811
201605,0.0,0.0,Angra Dos Reis,-0.0456,-0.2043
201606,3.102,14.5169,Angra Dos Reis,3.102,14.5169
201607,7.192,24.1766,Angra Dos Reis,7.192,24.1766
201608,6.1945,17.6914,Angra Dos Reis,6.1945,17.6914
201609,4.2718,18.8977,Angra Dos Reis,4.2718,18.8977
201610,3.4547,20.5381,Angra Dos Reis,3.4547,20.5381
201611,3.7507,16.7464,Angra Dos Reis,3.7507,16.7464
