week,precipitation_avg,precipitation_max,CITY
201339,2.806303261309995,8.292041482302642,Angra Dos Reis
201340,0.39821428571428574,1.6625000000000019,Angra Dos Reis
201341,3.492857142870281,11.875000000000007,Angra Dos Reis
201342,1.2413578227802853,4.249999999999998,Angra Dos Reis
201343,0.6234143499578202,2.8139079938720353,Angra Dos Reis
201344,1.3631839970782487,4.5928564677134025,Angra Dos Reis
201345,0.6428571431601521,3.937500000000002,Angra Dos Reis
201346,4.76185204739533,17.523505115696793,Angra Dos Reis
201347,4.189285714285711,14.900000000000015,Angra Dos Reis
201348,4.0675964746127775,23.187499999999993,Angra Dos Reis
201349,3.8687499975104402,10.102203182011461,Angra Dos Reis
201350,0.6962725324529517,3.3546001058143973,Angra Dos Reis
201351,2.0914285714285694,8.586666666666664,Angra Dos Reis
201352,4.288888888889012,9.893333333333645,Angra Dos Reis
